CN,PLT_CN,CONDID,HABTYPCD,FPAG
22405052010497,22398570010497,1,CFS260,CFS2
24492424010900,24492422010900,1,CHF4,CHF4
24492426010900,24492422010900,2,CHF4,CHF4
24493769010900,24493767010900,1,CHS513,CHS5
24493771010900,24493767010900,2,CHF250,CHF2
24494148010900,24494145010900,1,CFS258,CFS2
24494154010900,24494145010900,3,CFS258,CFS2
22405046010497,22398568010497,2,CMS354,CMS3
22405022010497,22398565010497,1,CFF154,CFF1
22405031010497,22398567010497,1,CFS260,CFS2
24512036010900,24512033010900,1,CES113,CES1
24493262010900,24493260010900,1,CHF911,CHF9
24493265010900,24493260010900,2,CHF911,CHF9
22404988010497,22398563010497,1,CFS231,CFS2
22405048010497,22398569010497,1,CFS226,CFS2
22405049010497,22398569010497,2,CFS226,CFS2
22405269010497,22398604010497,1,CHS134,CHS1
24501441010900,24501439010900,1,CFS352,CFS3
24502334010900,24502332010900,1,CHS621,CHS6
24502805010900,24502803010900,1,CFS258,CFS2
24501966010900,24501961010900,2,CHS251,CHS2
22405333010497,22398608010497,1,CHF135,CHF1
22405334010497,22398608010497,2,CHF135,CHF1
22405276010497,22398355010497,1,CFS218,CFS2
22405347010497,22398611010497,1,CMS246,CMS2
24500130010900,24500127010900,1,CFS258,CFS2
24500376010900,24500369010900,2,CMS350,CMS3
24499455010900,24499453010900,1,CFS226,CFS2
24499457010900,24499453010900,2,CFS226,CFS2
24499323010900,24499321010900,1,CHF9,CHF9
22405345010497,22398610010497,1,CFS231,CFS2
24500636010900,24500634010900,1,CHS8,CHS8
24501739010900,24501737010900,1,CHF4,CHF4
24501741010900,24501737010900,2,CHF4,CHF4
24501743010900,24501737010900,3,CH,CH
22405320010497,22398606010497,1,CHS140,CHS1
24501253010900,24501251010900,1,CMS350,CMS3
24500884010900,24500882010900,1,CDS255,CDS2
24503329010900,24503327010900,1,CHF4,CHF4
24503124010900,24503122010900,1,CMS350,CMS3
22405267010497,22398603010497,1,CFS352,CFS3
24499762010900,24499760010900,1,CHF134,CHF1
24461528010900,24461517010900,4,CHF135,CHF1
24461519010900,24461517010900,1,CHF135,CHF1
22405410010497,22398620010497,1,CHS142,CHS1
22405409010497,22398619010497,1,CHS141,CHS1
22405402010497,22398618010497,1,CHF132,CHF1
24462501010900,24462499010900,1,CHD1,CHD1
24462503010900,24462499010900,2,CHD1,CHD1
24463690010900,24463683010900,2,CH,CH
24463692010900,24463683010900,3,CH,CH
24462188010900,24462185010900,1,CEM211,CEM2
22405411010497,22398621010497,1,CFS234,CFS2
22405412010497,22398621010497,2,CFS234,CFS2
22405438010497,22398624010497,1,CES113,CES1
24462834010900,24462832010900,1,CHF4,CHF4
24461366010900,24461361010900,2,CHF4,CHF4
24464168010900,24464165010900,1,CFS352,CFS3
24463068010900,24463066010900,1,CHF4,CHF4
24463070010900,24463066010900,2,CHF4,CHF4
24461854010900,24461851010900,1,CMS356,CMS3
24464355010900,24464353010900,1,CMS241,CMS2
22405463010497,22398627010497,1,CDS411,CDS4
24463415010900,24463413010900,1,CMS355,CMS3
24513783010900,24513781010900,1,CHS8,CHS8
24513785010900,24513781010900,2,CHS8,CHS8
22404064010497,22398421010497,1,CHS137,CHS1
26125335010900,26125328010900,2,CHF132,CHF1
24534052010900,24534050010900,1,CHS7,CHS7
24534054010900,24534050010900,2,CDS255,CDS2
24476654010900,24476652010900,1,CDS651,CDS6
24476661010900,24476652010900,3,CDS651,CDS6
22404617010497,22398501010497,1,CHS235,CHS2
24476377010900,24476373010900,2,CHS137,CHS1
24477004010900,24477002010900,1,CHS133,CHS1
24460216010900,24460214010900,1,CHS137,CHS1
24459263010900,24459261010900,1,CHF124,CHF1
24517126010900,24517124010900,1,CHS126,CHS1
24519729010900,24519727010900,1,CHF4,CHF4
24518637010900,24518635010900,1,CHS8,CHS8
24519498010900,24519496010900,1,CHF4,CHF4
22404116010497,22398429010497,1,CFF253,CFF2
24518847010900,24518845010900,1,CFS251,CFS2
24518340010900,24518337010900,1,HC,HC
24544300010900,24544298010900,1,CHSI27,CHSI
24544302010900,24544298010900,2,CHFI24,CHFI
24543605010900,24543603010900,1,CHFI25,CHFI
24543434010900,24543432010900,1,CHS524,CHS5
24543436010900,24543432010900,2,CHS524,CHS5
24543819010900,24543817010900,1,CHF125,CHF1
